Area,Pedal cyclist casualty rate,Population per square kilometre,Square Kilometres,Total major road dual carriageway,Road density,Traffic Flows - Cars,Traffic Flows - All vehicles,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches
Hackney-2018,890.35096,14790,19.049025,4,14.4731817,390,532,41541,2816,3456,204,409
Hammersmith and Fulham-2018,970.73765,11224,16.397453,6.8,13.89849997,428,585,43441,3769,2527,206,96
Kensington and Chelsea-2018,1133.18438,13139,12.124013,6,17.49420757,413,572,41343,2482,1697,63,98
Lambeth-2018,1055.48345,12485,26.810035,4.9,14.19990686,618,855,63777,4592,5014,156,205
Richmond upon Thames-2018,680.53468,3474,57.406785,5.9,7.309240537,701,878,77238,3889,3965,157,1182
Southwark-2018,1141.03437,11167,28.862033,6.4,13.7724186,597,823,57425,3923,4281,268,1396
Tower Hamlets-2018,947.41978,16036,19.781276,16,15.36806827,734,1003,44115,2860,3049,252,185
Wandsworth-2018,894.40507,9468,34.26417,9,12.82972855,673,888,79416,5830,5486,448,363
Westminster-2018,1488.30506,11839,21.48698,17.1,16.63798263,638,906,49775,2593,3310,123,574
Hackney-2017,862.54073,14566,19.049025,4,14.75666077,386,527,41699,2948,3461,199,432
Hammersmith and Fulham-2017,945.36552,11093,16.397453,6.7,13.87410594,412,564,43083,3958,2452,211,109
Kensington and Chelsea-2017,1014.50485,13028,12.124013,5.3,17.33749378,389,541,41528,2605,1851,78,102
Lambeth-2017,1021.45361,12352,26.810035,4.8,14.46846302,607,845,64532,4960,5032,169,231
Richmond upon Thames-2017,705.23303,3449,57.406785,5.9,7.331885943,694,869,77639,3997,4035,152,1125
Southwark-2017,1031.08531,11009,28.862033,6.4,13.85210806,583,808,57719,3980,4677,271,1418
Tower Hamlets-2017,925.43284,15724,19.781276,15.8,15.21135441,711,975,44138,2863,3162,296,204
Wandsworth-2017,856.90333,9331,34.26417,9,13.02818659,656,868,80195,6087,5569,464,372
Westminster-2017,1670.77893,11637,21.48698,17,16.60075078,633,898,51427,2737,3275,125,661
Hackney-2016,928.61373,14380,19.049025,4,14.76716,380,522,41897,3196,3283,180,381
Hammersmith and Fulham-2016,868.3358,10977,16.397453,6.7,13.88020444,409,560,42923,4125,2602,213,116
Kensington and Chelsea-2016,1059.17333,12960,12.124013,5.3,17.33749378,383,533,41924,2811,1822,87,104
Lambeth-2016,899.6371,12243,26.810035,4.8,14.44981329,581,809,64641,5125,5024,197,232
Richmond upon Thames-2016,668.89291,3412,57.406785,5.9,7.32666008,681,852,77532,4294,3944,174,1078
Southwark-2016,903.50964,10875,28.862033,6.4,13.84517854,563,783,57868,4072,4843,265,1508
Tower Hamlets-2016,925.03297,15445,19.781276,15.8,15.22652027,681,941,43566,2942,3212,366,217
Wandsworth-2016,813.04414,9242,34.26417,8.5,12.96981658,618,819,80369,6609,5423,386,368
Westminster-2016,1445.7987,11524,21.48698,16.7,16.5960968,632,895,50490,2930,2907,135,257
Hackney-2015,925.61959,14143,19.049025,4,14.79340806,380,508,41365,3045,3278,170,314
Hammersmith and Fulham-2015,819.35232,10962,16.397453,6.7,13.88630295,404,540,42631,4177,2581,231,149
Kensington and Chelsea-2015,970.12891,13041,12.124013,5.3,17.37873425,385,521,42145,2942,1874,97,100
Lambeth-2015,872.29642,12113,26.810035,4.8,14.23347638,575,777,63649,5006,4870,178,264
Richmond upon Thames-2015,652.18508,3392,57.406785,5.9,7.324918126,683,835,77273,4237,3831,169,1025
Southwark-2015,909.67656,10725,28.862033,6.4,13.83131951,568,767,57600,4044,4822,281,1443
Tower Hamlets-2015,751.94082,14959,19.781276,15.8,15.26696256,669,904,42514,2781,3248,397,213
Wandsworth-2015,858.38547,9197,34.26417,8.5,12.84723955,629,813,80201,6686,5344,370,407
Westminster-2015,1675.61566,11277,21.48698,16.7,16.64263661,644,891,50557,2956,2976,107,283
